Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
BARIPADA,32.0,37.0,32.0,70.0,105.0,95.0,92.0,88.0,44.0,48.0,180.0,165.0,125.0,180.0,174.0,123.0,55.0,230.0,24.0,27.0,25.0,32.0
BALANGIR,38.0,35.0,39.0,72.0,97.0,96.0,92.0,89.0,39.0,48.0,,175.0,124.0,179.0,175.0,124.0,47.0,,23.0,26.0,23.0,20.0
KOLKATA,40.0,,32.0,75.0,111.0,105.0,104.0,102.0,43.0,48.0,,167.0,158.0,155.0,199.0,144.0,61.0,253.0,19.0,28.0,29.0,38.0
SILIGURI,,,,,,,,,,,,,,,,,,,,,,
PURULIA,30.0,,28.0,74.0,100.0,98.0,95.0,96.0,42.0,52.0,200.0,169.0,115.0,145.0,157.0,130.0,40.0,290.0,20.0,17.0,24.0,36.0
KHARAGPUR,44.0,22.0,30.0,80.0,95.0,96.0,120.0,108.0,42.0,45.0,205.0,165.0,135.0,140.0,185.0,125.0,45.0,230.0,14.0,27.0,25.0,40.0
RAMPURHAT,49.0,22.0,33.0,77.0,107.0,97.0,126.0,108.0,40.0,54.0,192.0,180.0,139.0,164.0,170.0,138.0,54.0,280.0,19.0,25.0,17.0,44.0
MALDA,34.0,17.0,24.0,79.0,118.0,99.0,108.0,103.0,41.0,43.0,,185.0,120.0,148.0,174.0,143.0,48.0,293.0,19.0,23.0,23.0,70.0
RAIGANJ,37.0,23.0,34.0,88.0,114.0,122.0,109.0,104.0,41.0,39.0,196.0,168.0,135.0,165.0,190.0,134.0,55.0,253.0,10.0,24.0,24.0,56.0
NORTH EAST ZONE,,,,,,,,,,,,,,,,,,,,,,
PORT BLAIR,41.0,39.0,63.0,80.0,103.0,115.0,110.0,100.0,51.0,67.0,,240.0,227.0,,220.0,185.0,70.0,325.0,22.0,50.0,40.0,50.0
MAYABUNDER,48.0,,64.0,83.0,108.0,126.0,122.0,100.0,51.0,68.0,201.0,221.0,175.0,,208.0,172.0,66.0,,19.0,55.0,45.0,65.0
ITANAGAR,24.0,,40.0,80.0,120.0,120.0,120.0,110.0,,,,,,,,,,,,,,
GUWAHATI,27.0,28.0,31.0,64.0,90.0,80.0,90.0,88.0,42.0,64.0,210.0,176.0,166.0,155.0,170.0,155.0,44.0,200.0,15.0,29.0,30.0,50.0
BARPETA,37.0,24.0,32.0,68.0,100.0,98.0,96.0,92.0,42.0,68.0,245.0,178.0,155.0,177.0,196.0,150.0,45.0,205.0,12.0,28.0,30.0,80.0
TINSUKIA,21.0,,32.0,68.0,105.0,97.0,95.0,92.0,43.0,68.0,,185.0,180.0,155.0,195.0,,55.0,175.0,12.0,26.0,26.0,
IMPHAL,40.0,34.0,33.0,85.0,110.0,120.0,100.0,95.0,49.0,60.0,180.0,170.0,177.0,170.0,210.0,167.0,,280.0,13.0,35.0,31.0,80.0
SHILLONG,35.0,31.0,29.0,78.0,107.0,107.0,107.0,103.0,44.0,68.0,,170.0,160.0,170.0,180.0,,60.0,253.0,28.0,33.0,37.0,53.0
TURA,22.0,35.0,35.0,85.0,115.0,120.0,110.0,103.0,45.0,68.0,,175.0,,160.0,210.0,140.0,70.0,500.0,15.0,37.0,37.0,63.0
JOWAI,25.0,32.0,30.0,90.0,100.0,110.0,115.0,95.0,45.0,68.0,,160.0,170.0,170.0,200.0,150.0,60.0,360.0,28.0,30.0,40.0,38.0
SOHRA,25.0,32.0,30.0,,120.0,120.0,115.0,100.0,45.0,66.0,,180.0,,150.0,,,100.0,340.0,25.0,22.0,60.0,70.0
MAIRANG,23.0,32.0,31.0,,,,,97.0,45.0,68.0,,155.0,,160.0,,,,347.0,12.0,30.0,40.0,32.0
AIZAWL,,,,,,,,,,,,,,,,,,,,,,
KOHIMA,40.0,,55.0,,,110.0,120.0,130.0,55.0,55.0,,220.0,210.0,190.0,,,,360.0,25.0,30.0,60.0,80.0
DIMAPUR,23.0,35.0,33.0,70.0,105.0,90.0,105.0,95.0,50.0,80.0,210.0,160.0,135.0,170.0,210.0,165.0,65.0,205.0,13.0,30.0,35.0,45.0
TUENSANG,30.0,,50.0,100.0,,,,100.0,50.0,,,170.0,,180.0,,,,,20.0,35.0,45.0,65.0
GANGTOK,53.0,30.0,34.0,85.0,115.0,125.0,115.0,110.0,48.0,62.0,,220.0,194.0,201.0,238.0,,60.0,547.0,17.0,45.0,35.0,50.0
AGARTALA,45.0,,30.0,75.0,115.0,110.0,110.0,115.0,50.0,64.0,,178.0,180.0,180.0,190.0,152.0,47.0,179.0,10.0,35.0,30.0,58.0
VIJAYWADA,56.0,43.0,52.0,70.0,112.0,118.0,111.0,97.0,42.0,67.0,177.0,179.0,149.0,,176.0,127.0,54.0,297.0,18.0,35.0,26.0,25.0
VISAKHAPATNAM,40.0,33.0,35.0,73.0,103.0,114.0,110.0,103.0,42.0,50.0,179.0,178.0,131.0,,177.0,128.0,56.0,240.0,20.0,30.0,23.0,21.0
KURNOOL,51.0,40.0,42.0,70.0,108.0,121.0,112.0,102.0,39.0,59.0,170.0,215.0,157.0,190.0,175.0,123.0,55.0,450.0,22.0,39.0,25.0,19.0
TIRUPATHI,55.0,38.0,37.0,65.0,110.0,113.0,110.0,110.0,40.0,46.0,175.0,213.0,145.0,150.0,189.0,140.0,55.0,367.0,19.0,36.0,27.0,17.0
JAMMALAMADUGU,,,,,,,,,,,,,,,,,,,,,,
BENGALURU,43.0,34.0,36.0,80.0,112.0,105.0,105.0,100.0,40.0,43.0,210.0,192.0,135.0,172.0,175.0,129.0,67.0,393.0,19.0,19.0,24.0,11.0
DHARWAD,41.0,36.0,57.0,67.0,114.0,111.0,104.0,115.0,37.0,50.0,203.0,204.0,179.0,157.0,186.0,151.0,45.0,393.0,21.0,32.0,34.0,28.0
