city,date,rate
Chennai,2020-02-01,76.01
Chennai,2020-02-02,75.91
Chennai,2020-02-03,75.85
Chennai,2020-02-04,75.8
Chennai,2020-02-06,75.69
Chennai,2020-02-07,75.47
Chennai,2020-02-08,75.23
Chennai,2020-02-09,75.0
Chennai,2020-02-10,74.86
Chennai,2020-02-11,74.69
Chennai,2020-02-18,74.64
Chennai,2020-02-24,74.77
Chennai,2020-02-27,74.71
Chennai,2020-02-29,74.64
Chennai,2020-03-01,74.49
Chennai,2020-03-02,74.26
Chennai,2020-03-03,74.21
Chennai,2020-03-05,74.05
Chennai,2020-03-06,73.89
Chennai,2020-03-07,73.76
Chennai,2020-03-08,73.56
Chennai,2020-03-09,73.31
Chennai,2020-03-10,73.01
Chennai,2020-03-12,72.84
Chennai,2020-03-13,72.69
Chennai,2020-03-14,72.56
Chennai,2020-03-15,72.43
Chennai,2020-03-16,72.26
Chennai,2020-05-05,75.52
Chennai,2020-06-07,76.12
Chennai,2020-06-08,76.72
Chennai,2020-06-09,77.26
Chennai,2020-06-10,77.66
Chennai,2020-06-11,78.26
Chennai,2020-06-12,78.86
Chennai,2020-06-13,79.46
Chennai,2020-06-14,80.06
Chennai,2020-06-15,79.94
Chennai,2020-06-16,80.35
Chennai,2020-06-17,80.84
Chennai,2020-06-18,81.31
Chennai,2020-06-19,81.8
Chennai,2020-06-20,82.25
Chennai,2020-06-21,82.56
Chennai,2020-06-22,82.85
Chennai,2020-06-23,83.02
Chennai,2020-06-25,83.16
Chennai,2020-06-26,83.35
Chennai,2020-06-27,83.57
Chennai,2020-06-29,83.62
Chennai,2020-08-16,83.77
Chennai,2020-08-17,83.91
Chennai,2020-08-18,84.05
Chennai,2020-08-20,84.14
Chennai,2020-08-21,84.31
Chennai,2020-08-22,84.45
Chennai,2020-08-23,84.57
Chennai,2020-08-24,84.69
Chennai,2020-08-25,84.78
Chennai,2020-08-27,84.87
Chennai,2020-08-28,84.96
Chennai,2020-08-30,85.05
Chennai,2020-09-01,85.09
Chennai,2020-09-10,85.01
Chennai,2020-09-12,84.9
Chennai,2020-09-14,84.78
Chennai,2020-09-15,84.63
Chennai,2020-09-17,84.49
Chennai,2020-09-18,84.26
Chennai,2020-09-22,84.19
Chennai,2020-11-20,84.33
Chennai,2020-11-21,84.45
Chennai,2020-11-22,84.49
Chennai,2020-11-23,84.56
Chennai,2020-11-24,84.61
Chennai,2020-11-26,84.71
Chennai,2020-11-27,84.87
Chennai,2020-11-28,85.08
Chennai,2020-11-29,85.27
Chennai,2020-12-02,85.4
Chennai,2020-12-03,85.55
Chennai,2020-12-04,85.73
Chennai,2020-12-05,85.97
Chennai,2020-12-06,86.21
Chennai,2020-12-07,86.48
Chennai,2021-01-06,86.73
Chennai,2021-01-07,86.95
Chennai,2021-01-13,87.17
Chennai,2021-01-14,87.39
Chennai,2021-01-18,87.61
Chennai,2021-01-19,87.83
Chennai,2021-01-22,88.05
Chennai,2021-01-23,88.27
Chennai,2021-01-26,88.58
Chennai,2021-01-27,88.8
Chennai,2021-02-04,89.11
Chennai,2021-02-05,89.37
Chennai,2021-02-09,89.68
Chennai,2021-02-10,89.95
Chennai,2021-02-11,90.17
Chennai,2021-02-12,90.42
Chennai,2021-02-13,90.69
Chennai,2021-02-14,90.94
Chennai,2021-02-15,91.17
Chennai,2021-02-16,91.44
Chennai,2021-02-17,91.66
Chennai,2021-02-18,91.96
Chennai,2021-02-19,92.23
Chennai,2021-02-20,92.58
Chennai,2021-02-23,92.88
Chennai,2021-02-27,93.1
Chennai,2021-03-24,92.94
Chennai,2021-03-25,92.75
Chennai,2021-03-30,92.56
Chennai,2021-04-15,92.42
Chennai,2021-05-04,92.57
Chennai,2021-05-05,92.73
Chennai,2021-05-06,92.95
Chennai,2021-05-07,93.2
Chennai,2021-05-10,93.43
Chennai,2021-05-11,93.67
Chennai,2021-05-12,93.89
Chennai,2021-05-14,94.15
Chennai,2021-05-16,94.36
Chennai,2021-05-18,94.6
Chennai,2021-05-21,94.76
Chennai,2021-05-23,94.91
Chennai,2021-05-25,95.12
Chennai,2021-05-27,95.33
Chennai,2021-05-29,95.56
Chennai,2021-05-31,95.81
Chennai,2021-06-01,96.04
Chennai,2021-06-04,96.28
Chennai,2021-06-06,96.52
Chennai,2021-06-07,96.77
Chennai,2021-06-09,96.99
Chennai,2021-06-11,97.24
Chennai,2021-06-12,97.48
Chennai,2021-06-14,97.74
Chennai,2021-06-16,97.96
Chennai,2021-06-18,98.2
Chennai,2021-06-20,98.45
Chennai,2021-06-22,98.7
Chennai,2021-06-24,98.93
Chennai,2021-06-26,99.24
Chennai,2021-06-27,99.55
Chennai,2021-06-29,99.85
Chennai,2021-07-02,100.18
Chennai,2021-07-04,100.49
Chennai,2021-07-05,100.8
Chennai,2021-07-07,101.11
Chennai,2021-07-08,101.42
Chennai,2021-07-10,101.73
Chennai,2021-07-12,101.97
Chennai,2021-07-15,102.28
Chennai,2021-07-17,102.55
Chennai,2021-08-04,102.55
Chennai,2021-08-05,102.55
Chennai,2021-08-06,102.55
Chennai,2021-08-07,102.55
Chennai,2021-08-08,102.55
Chennai,2021-08-09,102.55
Chennai,2021-08-10,102.55
Chennai,2021-08-11,102.55
Chennai,2021-08-12,102.55
Chennai,2021-08-13,102.55
Chennai,2021-08-14,102.55
Chennai,2021-08-15,102.55
Chennai,2021-08-16,102.55
Chennai,2021-08-17,102.55
Chennai,2021-08-18,102.55
Chennai,2021-08-19,99.53
Chennai,2021-08-20,99.53
Chennai,2021-08-21,99.53
Chennai,2021-08-22,99.37
Chennai,2021-08-23,99.37
Chennai,2021-08-24,99.25
Chennai,2021-08-25,99.25
Chennai,2021-08-26,99.25
Chennai,2021-08-27,99.25
Chennai,2021-08-28,99.25
Chennai,2021-08-29,99.25
Chennai,2021-08-30,99.25
Chennai,2021-08-31,99.25
Chennai,2021-09-01,99.11
Chennai,2021-09-02,99.11
Chennai,2021-09-03,99.11
Chennai,2021-09-05,98.97
Chennai,2021-09-06,98.97
Chennai,2021-09-07,98.97
Chennai,2021-09-08,98.97
Chennai,2021-09-09,98.97
Chennai,2021-09-10,98.97
Chennai,2021-09-11,98.97
Chennai,2021-09-12,98.97
Chennai,2021-09-13,98.97
Chennai,2021-09-14,98.97
Chennai,2021-09-15,98.97
Chennai,2021-09-16,98.97
Chennai,2021-09-17,98.97
Chennai,2021-09-18,98.97
Chennai,2021-09-19,98.97
Chennai,2021-09-20,98.97
Chennai,2021-09-21,98.97
Chennai,2021-09-22,98.97
Chennai,2021-09-23,98.97
Chennai,2021-09-24,98.97
Chennai,2021-09-25,98.97
Chennai,2021-09-26,98.97
Chennai,2021-09-27,98.97
Chennai,2021-09-28,99.14
Chennai,2021-09-29,99.14
Chennai,2021-09-30,99.34
Chennai,2021-10-01,99.55
Chennai,2021-10-02,99.76
Chennai,2021-10-03,99.98
Chennai,2021-10-04,99.98
Chennai,2021-10-05,100.2
Chennai,2021-10-06,100.46
Chennai,2021-10-07,100.72
Chennai,2021-10-08,100.98
Chennai,2021-10-09,101.24
Chennai,2021-10-10,101.5
Chennai,2021-10-11,101.76
Chennai,2021-10-12,101.76
Chennai,2021-10-13,101.76
Chennai,2021-10-14,102.06
Chennai,2021-10-15,102.36
Chennai,2021-10-18,102.97
Chennai,2021-10-19,102.97
Chennai,2021-10-20,103.27
Chennai,2021-10-21,103.58
Chennai,2021-10-22,103.88
Chennai,2021-10-23,104.19
Chennai,2021-10-24,104.49
Chennai,2021-10-25,104.49
Chennai,2021-10-26,104.49
Chennai,2021-10-27,104.79
Chennai,2021-10-28,105.1
Chennai,2021-10-29,105.4
Chennai,2021-10-30,105.7
Chennai,2021-10-31,106.01
Chennai,2021-11-01,106.33
Chennai,2021-11-02,106.65
Chennai,2021-11-03,106.65
Chennai,2021-11-04,101.38
Chennai,2021-11-05,101.38
Chennai,2021-11-06,101.38
Chennai,2021-11-07,101.38
